Stock,총자산증가율,자기자본증가율,매출액증가율,총자본영업이익율,총자본순이익율,자본금순이익율,매출액순이익율,매출액영업이익율,자기자본비율,부채비율,유보액/납입자본비율,총자본회전율,자기자본회전율, 당기순이익(손실),영업활동으로인한현금흐름,성장성,안정성,활동성,수익성,현금흐름,Z_score,부실기업판별_Z_score,부도확률_O_score,F_score,K_score,부실기업판별_K_score,자본잠식,벌금,불성실공시,소송,영업정지,특허,투자주의환기종목,업종,관리종목여부,관리종목요건_감사의견,관리종목요건_매출액,관리종목요건_영업손실,관리종목요건_법인세비용차감전계속사업손실,날짜,PER,PBR,EPS,DIV,EPS성장률
348370,75.43,66.49,65.89,6.83,4.16,59.75,4.89,8.03,62.68,59.53,938.04,0.85,1.33,1792540000.0,-2263246000.0,2.0,3.0,2.0,3.0,1.0,0.0,3.0,0.0002661056802293,1.0,19.13189330962836,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,1355.93,8.57,59.0,0.0,-0.07211413583240521
382800,26.2,45.44,41.16,2.9,2.69,24.09,2.79,3.01,50.12,99.51,375.51,0.96,2.04,635081000.0,-3262861000.0,2.0,3.0,2.0,3.0,1.0,0.0,3.0,0.0012385668528905,1.0,18.03978397851846,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,21.29,5.22,902.0,0.0,0.5497081451569511
377450,14.12,16.87,20.38,17.05,14.44,198.77,8.48,10.02,84.41,18.46,1138.43,1.7,2.04,2583963000.0,2700793000.0,2.0,3.0,2.0,3.0,2.0,0.0,3.0,3.1355429814096065e-05,1.0,31.390439698144487,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3,1,1,1,2018,11.57,5.16,1236.0,0.0,0.6450899998799806
114840,43.73,19.39,40.72,3.92,5.67,26.54,2.56,1.77,29.58,238.05,63.31,2.22,6.92,434713000.0,658380000.0,2.0,0.0,2.0,3.0,2.0,0.0,3.0,0.0038950841326601,2.0,19.51637004264244,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,9.51,5.52,2670.0,0.72,0.6450899998799806
382480,13.99,6.67,-30.52,2.51,2.18,36.58,5.3,6.1,32.79,204.97,485.02,0.41,1.22,466788000.0,-1672912000.0,1.0,2.0,2.0,3.0,1.0,0.0,3.0,0.0063128863557519,1.0,19.06280776796232,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,45.22,10.67,805.0,0.0,-5.930418841524372
376290,12.15,56.07,-38.66,1.86,22.85,174.07,59.44,4.85,60.9,64.21,390.47,0.38,0.73,12185093000.0,3209399000.0,1.0,3.0,2.0,4.0,2.0,0.0,3.0,0.0001403658704567,1.0,24.130004520990173,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,11.1,1.88,757.0,2.71,-5.930418841524372
159010,21.99,57.68,11.62,20.1,17.44,393.51,13.01,15.0,39.74,151.62,885.82,1.34,3.75,7359501000.0,7158368000.0,2.0,2.0,2.0,5.0,2.0,0.0,3.0,0.0009260561708574,1.0,23.32288264404247,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3,1,1,1,2018,15.79,4.02,1796.0,0.0,0.5497081451569511
382840,150.42,-87.58,-53.92,-8.01,-4.58,-198.4,-5.87,-10.28,3.62,2659.03,124.43,0.78,3.33,-793586000.0,-1437897000.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0924356524945323,0.0,16.964661865590905,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2,1,0,0,2018,78.88,13.66,1103.0,0.0,-0.07211413583240521
257720,52.83,96.99,27.27,28.02,22.52,931.7,7.78,9.67,55.35,80.67,2523.73,2.9,5.74,4019182000.0,3182489000.0,2.0,3.0,2.0,3.0,2.0,0.0,3.0,0.0002432321970312,1.0,27.49417986979728,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3,1,1,1,2018,41.91,6.85,692.0,0.0,0.08790917151945532
377220,28.92,69.85,39.78,12.29,7.51,102.91,2.17,3.55,16.21,517.0,190.54,3.46,23.88,932659000.0,1005429000.0,2.0,0.0,2.0,3.0,2.0,0.0,3.0,0.0151004921455768,2.0,19.74275558279226,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3,1,1,1,2018,12.06,9.97,904.0,1.9455172413793105,0.08790917151945532
